Datum ,DienststelleBeschreibung ,Wert
17.08.2010 ,Zentrale ,Chrono,""
"","","Herren-Armbanduhr, Dio Monaco ","Über 1.000,-"
16.06.2010 ,Riad ,Genève,""
"","",3D Bild (grau) im Glasrahmen in,""
27.07.2010 ,Zentrale ,brauner Holzkiste,""
"","",Bilderrahmen mit 3 gold-silber,""
"","","Stücken (""""Orchid"""", """"Wau",""
04.08.2010 ,Zentrale ,"Bulan"""", """"Bunga Raya"""")",""
09.08.2010 ,Zentrale ,"Buch """"Johannes King""""",""
09.08.2010 ,Zentrale ,"Buch """"Prada Milano""""",""
"","","Buch """"Tenerife - Kanarische",""
09.08.2010 ,Zentrale ,"Inseln""""",""
25.08.2010 ,Zentrale ,"Füller/Kugelschreiber """"Penkala""""",""
25.08.2010 ,Zentrale ,schwarze Lederhausschuhe,""
25.08.2010 ,Zentrale ,Teeset (Tablet und Tassen),""
"","","Buch """"Serbien in Europa"""", Zoran",""
26.08.2010 ,Zentrale ,Djindji?,""
"","","Buch und CD """"University of",""
26.08.2010 ,Zentrale ,"Begrade 1808-2008""""",""
"","","Buch """"Belgrad-An der Kreuzung",""
"","","von Wegen und Jahrhunderten"""",",""
26.08.2010 ,Zentrale ,Branislav Strugar,""
26.08.2010 ,Zentrale ,Souvenir,""
"","","CD """"Solo Cantatas"""", Bernarda"
27.08.2010 ,Zentrale ,Fink
27.08.2010 ,Zentrale ,Kristallgestein auf Sockel
"","","Buch """"Moving Forward, Kosovo"
27.08.2010 ,Zentrale ,"Force"""""
"","","Plakette """"Moving Forward,"
27.08.2010 ,Zentrale ,"Kosovo Force"""""
27.08.2010 ,Zentrale ,Kristallgestein in blauer Samtbox
"","","Buch """"Kosovo's Crystals and"
27.08.2010 ,Zentrale ,"Minerals"""" (Büro BM)"
"","",Nachbildung Dhaka Chittagong
"","",Container Shuttle in Glas in
01.09.2010 ,Zentrale ,schwarzer Box
"","",Silberne Gedenkmünze in
"","",mahagonifarbener Box anl.
30.08.2010 ,Zentrale ,Übernahme Präsidentschaft
02.09.2010 ,Zentrale ,Buch „Iveagh House“
"","",Buch „The conventual church of
03.09.2010 ,Zentrale ,the knights of Malta“
"","","11 Bücher – Kroatische Werke,"
"","",Styria Medien AG mit kroatischem
17.09.2010 ,Zentrale ,Ku-Ministerium
17.09.2010 ,Zentrale ,Vase orange-gold
"","",Bunt verzierte Holzbox in brauner
"","",Papbox mit Weinöffnungszubehör
06.09.2010 ,Zentrale ,(115-213: ein Zubehörteil fehlt)
"","",Buch „Vol de Dia-Andorra“ -
23.09.2010 ,Zentrale ,Jaume Riba Sabaté
"","",Farbstich „Straßburger Münster“
04.10.2010 ,Zentrale ,in goldfarbenen Rahmen
"","",Buch „Straßbourg Romantique“
04.10.2010 ,Zentrale ,Régis J. Spiegel
