|Zierteller, 2 Stoffsets|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|1 Brieföffner|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Bild, Nachbildung Volkstrachtkappe, Keramikfigur, Seidenstoff|,2015,00,00,00.00,False,False,|Verwertung|,False,BMF
|1 FI. Sekt|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Krawatte|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 KraWatte|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Krawatte|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 KraWatte|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Krawatte|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 KraWatte|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 KraWatte|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Krawatte|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Uhr|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Սhr|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Powerbank-Akku|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,169.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch|,2015,00,00,169.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,169.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|Schal, Kalender|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 kl. Bild|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Schale|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 kl. Bild|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Nüsse, 1 Wandteller|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Gemälde|,2015,00,00,00.00,False,False,|Verwertung|,False,BMF
|1 Schal|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Aufnahme Bestand Bibliothek|,False,BMF
|Schokolade, kl. Blumenstrauß|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 FI. Wein|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|1 Buch|,2015,00,00,80.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Bild|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Lebensmittel|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 DVD|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Schokolade, Wimpel|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Fl. Wein|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Fl. Wein|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 F. Wein|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Ikone|,2015,00,00,00.00,False,False,|Verwertung|,False,BMF
|DVD|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Lebensmittel|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,45,False,True,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Schal|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Journal|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,80.οο,False,False,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Kaffeetasse, Regenschirm, Schokolade|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|1 Schal, Tasse, Broschüre|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,35.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Wandteller|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|2 Eintrittskarten|,2015,00,00,99.00,False,True,|Eigenbehalt|,True,BMF
|Kalender, 2 Mini-Christstollen|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Eintrittskarte|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Eintrittskarte|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Eintrittskarte|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Eintrittskarte|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Eintrittskarte|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Eintrittskarte|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Eintrittskarte|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Eintrittskarte|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Eintrittskarte|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,22.00,True,False,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch|,2015,00,00,33.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Messingkännchen|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,33.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch|,2015,00,00,35.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
