Strohhauers Original Heidelberger Christstollen, 2010, 12, 7, 00,00, Behalten, success, BMAS
Vier Tassen, 2010, 12, 7, 00,00, Behalten, success, BMAS
"Buch ""Einundzwanzig Jahrhundertgefahren Jahrhundertchancen""", 2010, 12, 10, 00,00, Abgabe Dienstherr, fail, BMAS
2 Bücher: Aus Politik und Kultur 7; Digitalisierung: Kunst und Kultur sowie 2 Bücher: Aus Politik und Kultur 6; Künstlerleben: Zwischen Hype und Havarie v. Olaf Zimmermann/Theo Geißler im Rahmen einer Besprechung, 2010, 12, 20, 00,00, Abgabe Dienstherr, fail, BMAS
"Porzellanbecher, 2010, 12, 28, 00,00, Rueckgabe, fail, BMAS
"Bildband ""Hidden China"" von Alessandra Meniconzi", 2010, 12, 28, 00,00, Abgabe Dienstherr, fail, BMAS
1 silbernen Schutzengel-Schlüsselanhänger, 2010, 8, 26, 00,00, Behalten, success, BMAS
Regenschirm bei Gespräch zum ELENA-Verfahren, 2010, 12, 1, 00,00, Behalten, success, BMAS
"Buch von Daniel Kehlmann ""Die Vermessung der Welt"" für dienstl. Vortrag ", 2010, 3, 16, 00,00, Behalten, success, BMAS
Einladung  zum Eishockey-Bundesliga-Spiel in Berlin, 2010, 12, 17, 00,00, Behalten, success, BMAS
Einfaches gerahmtes Bildchen mit traditioneller chin. Darstellung bei Besuch einer 25-köpfigen chin. Besuchergruppe am 02.11.2010 in Berlin zu einem Vortrag zum Thema Arbeitsschutzsystem in Deutschland, 2010, 11, 8, 00,00, Behalten, success, BMAS
"CD ""Soldier of Love"" von Sade im Rahmen der Sitzung der Pflegekommission am 01.03.2010", 2010, 3, 2, 00,00, Behalten, success, BMAS
Heidelberger Christstollen (1.500 g), 2010, 12, 3, 00,00, Behalten, success, BMAS
Rückgabe Cebit-Tageskarte, 2010, 3, 2, 00,00, Behalten, success, BMAS
Buch als Geburtstagsgruß, 2011, 6, 17, 00,00, Behalten, success, BMAS
Tischkalender als Dank für die gute Zusammenarbeit, 2011, 12, 20, 00,00, Behalten, success, BMAS
"Buch ""Zeitbombe Internet"" als Weihnachtspräsent", 2011, 12, 19, 00,00, Behalten, success, BMAS
 Glas Honig und ein Tütchen Wildblumensamen als Weihnachtspräsent, 2011, 12, 19, 00,00, Behalten, success, BMAS
"Unaufgeforderte Zusendung des Buches ""Ich arbeite in einem Irrenhaus"" ", 2011, 10, 12, 00,00, Behalten, success, BMAS
"Flasche Wein (Staatliche Weinbaudomäne Oppenheim, 2011, 7, 25, 00,00, Behalten (Dienstgebrauch), success, BMAS
1 Küchenmesser (Obstmesser) aus Solingen mit vergoldeter Klinge bei Implementierungsreise Stadt Solingen am 16.09.2011, 2011, 10, 5, 00,00, Behalten, success, BMAS
Flasche Wein (Wachtenburg Secco weiß trocken), 2011, 7, 25, 00,00, Behalten, success, BMAS
Adventskalender mit Schokoladenfüllung von Vivento zur Weihnachtszeit, 2011, 11, 16, 00,00, Behalten, success, BMAS
Kugelschreiber und Schlüsselanhänger bei Treffen einer südkoreanischen Regierungsdelegation im BMAS, 2011, 9, 1, 00,00, Behalten, success, BMAS
Bild von Behinderten bei Ausstellungsgestaltung, 2011, 9, 16, 00,00, Behalten, success, BMAS
Keramikfigur als Gastgeschenk der chin. Delegation; Gespräch zur Arbeitsmarkt- und Sozialpolitik in Deutschland, 2011, 4, 27, 00,00, Behalten, success, BMAS
grüner Schal als Gastgeschenk bei bilateralem Gespräch zur Vertiefung der Zusammenarbeit mit dem vietnam. Partnerministerium, 2011, 4, 27, 00,00, Abgabe Dienstherr, fail, BMAS
Vase als Gastgeschenk für Teilnahme am ASEM-Forum in Vietnam, 2011, 4, 27, 00,00, Behalten, success, BMAS
Kleiner Holzfächer bei Besuch einer koreanischen Delegation am 15.06.2011, 2011, 6, 24, 00,00, Behalten, success, BMAS
Schmuckkästchen durch Besuch einer Delegation aus Korea am 16.11.2011, 2011, 1, 10, 00,00, Behalten, success, BMAS
Kleine Vase durch Besuch einer Delegation aus China, 2011, 1, 10, 00,00, Behalten, success, BMAS
Schreibset als Weihnachtsgruß, 2011, 1, 10, 00,00, Behalten, success, BMAS
Taschenspiegel mit Schlüsselanhänger, 2011, 1, 10, 00,00, Behalten, success, BMAS
Kamm, 2011, 1, 10, 00,00, Behalten, success, BMAS
Gastgeschenk der vietnamesischen Delegation am 18.11.2011 - ein Teebehälter, 2011, 11, 18, 00,00, Behalten, success, BMAS
"Buch des norwegischen Autors Bjornstad ""Die Frau im Tal"" für Vortrag zu CSR anl. Sitzung Norw. Wirtschaftsrat ", 2011, 4, 7, 00,00, Behalten, success, BMAS
Wandkalender/Schokolade, 2011, 12, 23, 00,00, Behalten, success, BMAS
Seidenschal von Chin. Delegation d. Nationalen Kommission für Bevölkerung und Familienplanung der Volksrepublik China, 2011, 9, 19, 00,00, Behalten, success, BMAS
Taschenspiegel und Wandteller bei Besuch einer Delegation aus China am 13.12.2010, 2011, 1, 10, 00,00, Behalten, success, BMAS
Buch bei Besuch einer Delegation aus China, 2011, 3, 9, 00,00, Behalten, success, BMAS
"Flasche Brut Magnum im Rahmen einer Veranstaltung ""MCC Zukunftsmarkt Altersvorsorge""", 2011, 3, 14, 00,00, Behalten, success, BMAS
"1 Flasche Weißwein, 2011, 6, 16, 00,00, Behalten (Dienstgebrauch), success, BMAS
"Buch/Katalog ""Kunst trotz(t) Armut""", 2011, 8, 8, 00,00, Behalten, success, BMAS
Glas - geformt wie Kohlblätter - bei Betreuung der chin. Delegation am 09.06.2011, 2011, 6, 15, 00,00, Abgabe Dienstherr, fail, BMAS
1 Küchenmesser (Obstmesser) aus Solingen mit vergoldeter Klinge bei Implementierungsreise Stadt Solingen am 16.09.2011, 2011, 9, 21, 00,00, Behalten, success, BMAS
Kicker-Spiel als Weihnachtsgruß, 2011, 1, 13, 00,00, Behalten, success, BMAS
Mittagessen bei Int. Delegation der OECD, 2011, 7, 1, 00,00, Behalten, success, BMAS
Kugelschreiber und Schlüsselanhänger bei Treffen einer südkoreanischen Regierungsdelegation im BMAS, 2011, 9, 1, 00,00, Behalten, success, BMAS
Kochbuch für Betreuung einer Inhouse-Schulung, 2011, 10, 26, 00,00, Behalten, success, BMAS
1 Motivteller bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011), 2011, 9, 8, 00,00, Behalten, success, BMAS
"1 Mini-Bildband Australien, 2011, 9, 8, 00,00, Behalten (Dienstgebrauch), success, BMAS
"Broschüren zur Stadtinformation, 2011, 9, 8, 00,00, Rueckgabe, fail, BMAS
1 Etui mit Nagelpflegeutensilien (mit Aufdruck) bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011), 2011, 9, 8, 00,00, Behalten, success, BMAS
1 Fächer bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011), 2011, 9, 8, 00,00, Behalten, success, BMAS
"15-teiliges Besteckset, 2011, 9, 8, 00,00, Behalten (Dienstgebrauch), success, BMAS
"1 Notizzettelhalter, 2011, 9, 8, 00,00, Abgabe Dienstherr, fail, BMAS
1 ungefülltes Schmuckkästchen bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011), 2011, 9, 8, 00,00, Behalten, success, BMAS
1 Flache Wein bei Vortrag beim Deutschen Bauernverband, 2011, 3, 18, 00,00, Behalten, success, BMAS
Pralinen von Leonidas als Präsent zum Jahreswechsel/Dank für Zusammenarbeit, 2011, 1, 11, 00,00, Behalten, success, BMAS
Wandkalender für Infogespräch mit Integrationsamt Berlin, 2011, 1, 3, 00,00, Behalten, success, BMAS
1 Etui mit Nagelpflegeutensilien (mit Aufdruck) bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011), 2011, 9, 8, 00,00, Behalten, success, BMAS
"Broschüren zur Stadtinforamtion, 2011, 9, 8, 00,00, Rueckgabe, fail, BMAS
1 Motivteller bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011), 2011, 9, 8, 00,00, Behalten, success, BMAS
1 ungefülltes Schmuckkästchen bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011), 2011, 9, 8, 00,00, Behalten, success, BMAS
"1 Notizzettelhalter, 2011, 9, 8, 00,00, Abgabe Dienstherr, fail, BMAS
"15-teiliges Besteckset, 2011, 9, 8, 00,00, Behalten (Dienstgebrauch), success, BMAS
1 Fächer bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011), 2011, 9, 8, 00,00, Behalten, success, BMAS
"1 Mini-Bildband Australien, 2011, 9, 8, 00,00, Behalten (Dienstgebrauch), success, BMAS
1 Minibildband Neuseeland bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011), 2011, 9, 8, 00,00, Behalten, success, BMAS
1 Briefbeschwerer bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011), 2011, 9, 8, 00,00, Behalten, success, BMAS
Taschenbuch von der Arbeitsgemeinschaft für Betriebl. Altersvorsorge eV)., 2011, 12, 2, 00,00, Abgabe Dienstherr, fail, BMAS
Notizbuch als Weihnachtsgeschenk und Buch als Dank für die geleistete Arbeit im Projektbeirat, 2011, 2, 25, 00,00, Behalten, success, BMAS
