Blumenstrauß, Bundesfinanzministerium, 2015, < 20,00 , Behalten, BMF, success
Teilnahme Kongress, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Nussknacker, Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
USB-Speicherstick, Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
2 F. Wein, Bundesfinanzministerium, 2015, ca. 20,00 , Behalten, BMF, success
Nussknacker, Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
USB-Speicherstick, Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
2 FI. Wein, Bundesfinanzministerium, 2015, ca. 20,00 , Behalten, BMF, success
Nussknacker, Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
USB-Speicherstick, Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
2 F. Wein, Bundesfinanzministerium, 2015, ca. 20,00 , Behalten, BMF, success
Nussknacker, Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
USB-Speicherstick, Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
2 F. Wein, Bundesfinanzministerium, 2015, ca. 20,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
'kl. Modellschiff, Zucker', Bundesfinanzministerium, 2015, ca. 50,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, ca. 20,00 , Behalten, BMF, success
'Zierteller, 2 Stoffsets', Bundesfinanzministerium, 2015, < 25,00 ,  Verwertung, BMF, fail
'Zierteller, 2 Stoffsets', Bundesfinanzministerium, 2015, < 25,00 ,  Verwertung, BMF, fail
'Zierteller, 2 Stoffsets', Bundesfinanzministerium, 2015, < 25,00 ,  Verwertung, BMF, fail
1 Brieföffner, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
'1 Bild, Nachbildung Volkstrachtkappe, Keramikfigur, Seidenstoff', Bundesfinanzministerium, 2015, n.a.,  Verwertung, BMF, fail
1 FI. Sekt, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Krawatte, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 KraWatte, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Krawatte, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 KraWatte, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Krawatte, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 KraWatte, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 KraWatte, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Krawatte, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
