1 T-Shirt, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
"1 Paket große  Mikadostäbe", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch "Leipzig- Kultur- und Messe- stadt", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Boccia-Cross-Set, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
"1 chinesischer Füllfeder- halter", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, Wert  < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Schlüsselanhänger, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch "Mosaico  Boliviano", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Schachtel Pralinen, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, Wert  < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
4 Kugelschreiber, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
4 Bücher, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
