Kunsthandwerk, Dolche, Auswärtiges Amt, 2015/07/16, , Geschenkelager, AA, fail
Buch über Katar, Auswärtiges Amt, 2015/07/16, , Geschenkelager, AA, fail
Kunsthandwerk, Kiste Indien, Auswärtiges Amt, 2015/07/16, , Geschenkelager, AA, fail
DVD über Neuseeland, Auswärtiges Amt, 2015/07/16, , Geschenkelager, AA, fail
Lampe, Holz (010-7), Auswärtiges Amt, 2015/06/12, , Geschenkelager, AA, fail
Manschettenknöpfe, Auswärtiges Amt, 2015/06/17, , Geschenkelager, AA, fail
Silbermünze in Herzform mit Schwanenmotiv, Auswärtiges Amt, 2015/06/17, , Geschenkelager, AA, fail
Saxophonspieler-Holzfigur (010-6), Auswärtiges Amt, 2015/07/16, , Geschenkelager, AA, fail
Falke auf Handschuh silberfarben, Auswärtiges Amt, 2015/08/10, , Geschenkelager, AA, fail
Holzdose, Auswärtiges Amt, 2015/08/16, , Geschenkelager, AA, fail
Die Maus (Büro BM), Auswärtiges Amt, 2015/08/29, , Geschenkelager, AA, fail
Wandteller, Silber, Auswärtiges Amt, 2015/08/18, , Geschenkelager, AA, fail
Schmuckschatulle, Holz, Auswärtiges Amt, 2015/08/20, , Geschenkelager, AA, fail
Gefäß, Silber, Auswärtiges Amt, 2015/08/28, , Geschenkelager, AA, fail
DVD, Auswärtiges Amt, 2015/08/30, , Geschenkelager, AA, fail
Vase, Lapislazuli, Auswärtiges Amt, 2015/08/30, , Geschenkelager, AA, fail
erzens er, a s azu e e n - - von zübergeben), Auswärtiges Amt, 2015/08/30, , Geschenkelager, AA, fail
Schale, Silber, Auswärtiges Amt, 2015/08/31, , Geschenkelager, AA, fail
Schale, Silber, Auswärtiges Amt, 2015/08/31, , Geschenkelager, AA, fail
Schale, Silber, Auswärtiges Amt, 2015/08/31, , Geschenkelager, AA, fail
Notizbuch, Leder mit Bambusstiften, Auswärtiges Amt, 2015/08/30, , Geschenkelager, AA, fail
Plakette mit Medaille, Auswärtiges Amt, 2015/08/30, , Geschenkelager, AA, fail
Buch, in Leder gebunden, Auswärtiges Amt, 2015/08/30, , Geschenkelager, AA, fail
Teppich (010-0), Auswärtiges Amt, 2015/08/30, , Geschenkelager, AA, fail
Book of Ecclesiastes, of the Preacher, illustrations byErnst Neizvestny, Auswärtiges Amt, nicht bekannt, , Geschenkelager, AA, fail
Schale, Glas mit Metalldeko, Auswärtiges Amt, 2015/09/18, , Geschenkelager, AA, fail
